userid,gender,no_of_days,no_os_calls,enrolled
1001,Male,19,1,No
1002,Female,8,7,Yes
1003,Male,7,6,No
1004,Male,16,5,No
1005,Male,19,1,Yes
1006,Female,6,1,No
1007,Male,20,6,Yes
1008,Male,27,7,Yes
1009,Male,21,1,Yes
1010,Female,11,9,No
1011,Male,5,4,Yes
1012,Male,16,5,No
1013,Male,7,2,Yes
1014,Male,27,8,Yes
1015,Female,5,2,Yes
1016,Male,11,3,Yes
1017,Female,15,9,No
1018,Female,3,2,No
1019,Female,26,6,Yes
1020,Male,5,4,Yes
1021,Female,23,7,Yes
1022,Male,21,6,No
1023,Female,5,9,Yes
1024,Female,9,9,Yes
1025,Female,15,4,No
1026,Female,3,1,Yes
1027,Female,29,2,Yes
1028,Female,6,8,Yes
1029,Female,17,8,Yes
1030,Female,26,2,No
1031,Male,21,4,No
1032,Male,8,1,No
1033,Female,21,7,Yes
1034,Female,25,4,Yes
1035,Female,11,8,No
1036,Male,6,9,Yes
1037,Female,8,9,Yes
1038,Male,10,3,No
1039,Male,24,5,No
1040,Male,29,6,Yes
1041,Male,3,6,No
1042,Male,23,8,Yes
1043,Female,14,6,No
1044,Female,23,6,No
1045,Female,14,4,Yes
1046,Female,10,7,Yes
1047,Female,12,8,No
1048,Male,6,3,Yes
1049,Female,12,7,Yes
1050,Female,23,3,Yes
1051,Male,14,8,No
1052,Female,2,1,Yes
1053,Male,9,1,Yes
1054,Female,10,6,No
1055,Male,26,9,No
1056,Female,17,4,No
1057,Female,17,6,No
1058,Male,3,5,Yes
1059,Male,30,1,Yes
1060,Male,19,6,No
1061,Male,1,9,No
1062,Male,12,3,Yes
1063,Male,7,3,Yes
1064,Male,4,2,No
1065,Male,10,4,Yes
1066,Female,13,3,Yes
1067,Female,2,2,No
1068,Male,10,1,No
1069,Female,21,3,No
1070,Female,22,6,No
1071,Female,25,9,Yes
1072,Female,4,5,No
1073,Male,18,3,Yes
1074,Female,5,5,Yes
1075,Male,19,5,Yes
1076,Female,2,5,No
1077,Female,12,7,Yes
1078,Female,17,5,No
1079,Male,10,7,No
1080,Female,2,9,No
1081,Male,6,5,Yes
1082,Female,8,2,No
1083,Male,29,5,No
1084,Female,19,8,Yes
1085,Male,11,4,No
1086,Male,25,2,Yes
1087,Female,12,3,Yes
1088,Male,9,9,No
1089,Female,2,9,No
1090,Female,8,8,No
1091,Female,26,8,No
1092,Female,11,8,Yes
1093,Female,28,8,No
1094,Female,21,8,No
1095,Female,4,1,Yes
1096,Female,10,6,No
1097,Female,21,9,No
1098,Female,20,8,No
1099,Female,16,3,No
1100,Male,8,1,No
1101,Male,4,2,Yes
1102,Female,29,2,No
1103,Female,10,7,Yes
1104,Female,12,6,Yes
1105,Female,29,2,Yes
1106,Female,14,8,Yes
1107,Female,16,9,No
1108,Female,22,7,No
1109,Female,18,4,Yes
1110,Male,21,1,No
1111,Female,22,4,No
1112,Male,21,4,Yes
1113,Female,12,8,No
1114,Female,18,4,Yes
1115,Male,30,4,Yes
1116,Female,7,2,No
1117,Male,20,7,No
1118,Female,24,4,No
1119,Female,23,6,Yes
1120,Male,7,3,Yes
1121,Female,9,7,No
1122,Male,1,6,Yes
1123,Female,26,3,No
1124,Male,6,4,No
1125,Male,6,5,No
1126,Female,22,9,No
1127,Female,29,6,Yes
1128,Male,12,4,No
1129,Female,22,7,Yes
1130,Female,12,2,Yes
1131,Female,10,4,Yes
1132,Male,23,5,Yes
1133,Male,30,4,Yes
1134,Male,26,4,Yes
1135,Male,6,9,No
1136,Male,17,2,Yes
1137,Male,19,6,No
1138,Male,18,8,Yes
1139,Male,6,8,No
1140,Male,24,7,No
1141,Female,19,4,Yes
1142,Male,10,7,No
1143,Female,24,6,No
1144,Female,8,6,Yes
1145,Female,21,2,Yes
1146,Male,24,8,Yes
1147,Male,6,8,Yes
1148,Male,21,7,Yes
1149,Male,25,9,Yes
1150,Female,30,8,Yes
1151,Male,7,9,Yes
1152,Male,24,9,No
1153,Male,1,6,Yes
1154,Male,27,2,No
1155,Male,18,7,Yes
1156,Female,24,3,Yes
1157,Male,28,7,Yes
1158,Female,25,9,Yes
1159,Male,20,2,No
1160,Female,12,6,No
1161,Male,16,6,Yes
1162,Male,10,9,No
1163,Female,27,9,Yes
1164,Female,10,5,No
1165,Female,14,5,Yes
1166,Male,25,9,No
1167,Female,20,8,No
1168,Male,10,7,No
1169,Male,10,8,Yes
1170,Female,26,6,No
1171,Female,25,3,Yes
1172,Male,11,7,No
1173,Male,23,8,Yes
1174,Female,2,8,Yes
1175,Female,25,1,Yes
1176,Female,20,7,No
1177,Male,8,3,No
1178,Male,30,2,Yes
1179,Male,23,2,Yes
1180,Male,29,8,Yes
1181,Male,7,9,No
1182,Male,8,3,No
1183,Female,1,3,No
1184,Male,21,6,No
1185,Male,2,1,No
1186,Male,18,6,Yes
1187,Female,15,3,Yes
1188,Male,1,4,Yes
1189,Male,5,9,Yes
1190,Female,2,3,No
1191,Male,20,1,No
1192,Male,3,3,Yes
1193,Male,19,7,No
1194,Male,18,7,Yes
1195,Male,29,5,No
1196,Female,22,1,No
1197,Female,18,8,Yes
1198,Female,14,8,Yes
1199,Male,30,2,Yes
1200,Male,24,3,No
1201,Male,8,4,No
1202,Female,29,1,No
1203,Male,30,4,Yes
1204,Male,12,5,Yes
1205,Female,21,3,Yes
1206,Male,10,2,No
1207,Female,23,6,No
1208,Female,20,8,Yes
1209,Female,17,7,Yes
1210,Male,11,1,Yes
1211,Male,2,4,No
1212,Male,26,3,No
1213,Male,26,6,Yes
1214,Male,4,9,Yes
1215,Male,1,9,Yes
1216,Male,15,7,No
1217,Female,13,9,No
1218,Male,8,8,No
1219,Female,25,5,Yes
1220,Male,4,9,Yes
1221,Male,10,7,Yes
1222,Male,19,5,Yes
1223,Female,18,8,Yes
1224,Female,5,7,Yes
1225,Female,30,9,Yes
1226,Female,19,1,Yes
1227,Male,26,9,Yes
1228,Female,23,7,Yes
1229,Male,27,1,Yes
1230,Male,22,1,No
1231,Female,16,5,Yes
1232,Female,1,8,Yes
1233,Female,12,9,No
1234,Female,24,6,Yes
1235,Female,2,8,No
1236,Female,21,6,No
1237,Female,25,6,Yes
1238,Female,8,4,Yes
1239,Male,18,5,No
1240,Female,25,2,Yes
1241,Female,16,3,Yes
1242,Male,5,3,Yes
1243,Female,26,5,No
1244,Male,30,5,No
1245,Male,22,6,Yes
1246,Female,13,5,Yes
1247,Male,19,6,No
1248,Male,29,8,No
1249,Male,3,2,Yes
1250,Male,26,4,Yes
1251,Female,8,6,Yes
1252,Male,27,5,No
1253,Female,26,1,No
1254,Male,26,9,Yes
1255,Male,12,3,No
1256,Male,2,2,Yes
1257,Male,11,9,Yes
1258,Female,12,7,Yes
1259,Female,28,5,Yes
1260,Male,18,6,Yes
1261,Male,13,4,No
1262,Female,5,1,No
1263,Male,22,4,Yes
1264,Male,12,9,No
1265,Male,2,1,Yes
1266,Female,5,3,No
1267,Female,7,5,No
1268,Female,26,7,No
1269,Male,26,9,No
1270,Male,24,6,Yes
1271,Female,12,3,No
1272,Female,16,7,No
1273,Female,23,4,No
1274,Female,8,3,No
1275,Male,30,7,No
1276,Female,28,7,No
1277,Male,9,4,No
1278,Female,15,7,No
1279,Male,5,2,Yes
1280,Female,13,1,Yes
1281,Female,5,2,Yes
1282,Female,11,4,No
1283,Female,10,8,Yes
1284,Male,20,3,Yes
1285,Female,13,6,Yes
1286,Male,9,6,No
1287,Male,21,9,Yes
1288,Male,14,9,Yes
1289,Male,18,4,Yes
1290,Female,15,9,Yes
1291,Male,10,6,Yes
1292,Male,24,2,Yes
1293,Male,7,6,Yes
1294,Female,8,2,No
1295,Female,28,8,Yes
1296,Female,3,4,Yes
1297,Female,15,5,No
1298,Male,16,8,No
1299,Male,4,8,No
1300,Female,21,6,No
1301,Male,6,4,No
1302,Male,1,1,Yes
1303,Male,4,7,Yes
1304,Female,11,8,Yes
1305,Female,12,9,No
1306,Male,26,2,Yes
1307,Female,29,1,Yes
1308,Female,5,4,No
1309,Female,23,5,No
1310,Female,29,1,Yes
1311,Female,21,5,No
1312,Male,16,6,Yes
1313,Female,13,3,No
1314,Male,13,7,Yes
1315,Male,17,6,Yes
